ID,ProductName,Description,OriginalPrice,SalePrice,ImageURL,Category,Subcategory,Size,Brand,Stock,LinkRetailer,DealURL,StartDate,EndDate,discount%,Featured
www.thehockeyshop.com-J0048,Bauer GSX Intermediate Goalie Stick (2023),Bauer GSX Intermediate Goalie Stick (2023),119.99,101.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/goalie-sticks-bauer-gsx-intermediate-goalie-stick-2023-1221721782.jpg?v=1772649131,Goalie Gear,Goalie Stick,Intermediate,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-intermediate-goalie-stick,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0049,Bauer GSX Junior Goalie Blocker (2023),Bauer GSX Junior Goalie Blocker (2023),179.99,152.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/blockers-bauer-gsx-junior-goalie-blocker-2023-1221723854.jpg?v=1772707778,Goalie Gear,Blocker,Junior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-junior-goalie-blocker-1,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0050,Bauer GSX Junior Goalie Catcher (2023),Bauer GSX Junior Goalie Catcher (2023),209.99,177.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/catchers-bauer-gsx-junior-goalie-catcher-2023-1221723867.jpg?v=1772708198,Goalie Gear,Catcher Glove,Junior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-junior-goalie-catcher-1,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0051,Bauer GSX Junior Goalie Leg Pads (2023),Bauer GSX Junior Goalie Leg Pads (2023),449.99,381.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/bauer-leg-pads-bauer-gsx-junior-goalie-leg-pads-s23-white-l-30444878266434.jpg?v=1768101655,Goalie Gear,Leg Pads,Junior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-junior-goalie-leg-pads-1,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0052,Bauer GSX Junior Goalie Pants (2023),Bauer GSX Junior Goalie Pants (2023),159.99,135.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/bauer-goalie-pants-bauer-gsx-junior-goalie-pants-s23-black-l-xl-30444697878594.jpg?v=1768102106,Goalie Gear,Goalie Pants,Junior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-junior-goalie-pants-1,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0053,Bauer GSX Junior Goalie Stick (2023),Bauer GSX Junior Goalie Stick (2023),109.99,92.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/goalie-sticks-bauer-gsx-junior-goalie-stick-2023-1221723588.jpg?v=1772698297,Goalie Gear,Goalie Stick,Junior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-junior-goalie-stick,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0054,Bauer GSX Senior Goalie Blocker (2023),Bauer GSX Senior Goalie Blocker (2023),209.99,177.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/blockers-bauer-gsx-senior-goalie-blocker-2023-1221723838.jpg?v=1772707298,Goalie Gear,Blocker,Senior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-senior-goalie-blocker-2023,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0055,Bauer GSX Senior Goalie Catcher (2023),Bauer GSX Senior Goalie Catcher (2023),239.99,203.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/catchers-bauer-gsx-senior-goalie-catcher-2023-1221723981.jpg?v=1772711231,Goalie Gear,Catcher Glove,Senior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-senior-goalie-catcher-1,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0056,Bauer GSX Senior Goalie Leg Pads (2023),Bauer GSX Senior Goalie Leg Pads (2023),649.99,551.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/bauer-leg-pads-bauer-gsx-senior-goalie-leg-pads-s23-white-l-30444800704578.jpg?v=1768101503,Goalie Gear,Leg Pads,Senior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-senior-goalie-leg-pads-1,2026-03-20,2026-04-03,15,
www.thehockeyshop.com-J0057,Bauer GSX Senior Goalie Stick (2023),Bauer GSX Senior Goalie Stick (2023),129.99,109.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/goalie-sticks-bauer-gsx-senior-goalie-stick-2023-1221723600.jpg?v=1772698630,Goalie Gear,Goalie Stick,Senior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-gsx-senior-goalie-stick,2026-03-20,2026-04-03,15,
